Dataset ID,Case Name,Court Case No.,Year,Reporter,Legal Topic / Law,Case Facts / Issue,Judgment / Holding,Source URL
NLR-75-012,"B. G. MOSES, Appellant, and THE QUEEN, Respondent",S. C. 3/68 [Bribery)—D. G. Colombo,1971,NLR Volume 75,Criminal Procedure Code,", 29/B Evidence—Charge of bribery—Previous conviction-- Inadmissibility—Participants in offence— Weight of their evidence —Courts Ordinance (Cap. 6), s. 36—Criminal Procedure Code (Cap. 20), s. 426—Evidence Ordinance, e. 54—Bribery Act (Cap. 26), se. 20, 79 (1). The accused-appellant was charged with an offence punishable under seetion 20 of the Bribery Act. The trial Judge admitted in evidence a previous conviction of the appellant for obtaining money by false pretences and relied an this previous conviction'in convicting him on the bribery charge. The Crown conceded that the cross-examination of the appellant on the previous conviction should sot have been permitted but submitted that notwithstanding this error of the trial Judge the appeal should be dismissed.",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/012-NLR-NLR-V-75-R.-G.-MOSES-Appellant-and-THE-QUEEN-Respondent.pdf
NLR-75-101,"J. T. G. DHARMADASA, Appellant, and THE QUEEN, Respondent",C. C. A. Nos. 146 a n d 147 o f 1971,1972,NLR Volume 75,Criminal Law,"8. C. 243 of 1971 —M. C. Polonnaruwa, 9037 Charge of murder against two accused —Summing-up—Failure of judge to direct jury as to the ease against each accused separately when it was necessary to do so — Misdirection—Verdict of Jury—Power of Court of Appeal to alter it—Court of Appeal Act, No. 44 of 1971, s. 8 (2). . The. appellant and another accused were convicted on a charge of murder. Although the case was one where the trial judge was required to advise the jury to consider the case against each accused' separately, he omitted to give such direction. On the other hand he addressed the jury thus :— “ Qn the facts of this case, I cannot see how you can'distinguish between the two accused in this case. You either convict both accused or acquit both ; if you believe the prosecution story, then you will convict the acoused.""",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/101-NLR-NLR-V-75-T.-G.-DHARMADASA-Appellant-and-THE-QUEEN-Respondent.pdf
NLR-75-075,"E. L. SENANAYAKE, Appellant, and Q. B. DE SILVA and 2 others,",S.C. 444 it was held that new instances,1972,NLR Volume 75,Penal Code,"of a corrupt practice alleged in the petition may be introduced by an amendment of particulars. Section 83 (1) of the Representation of the People Act of India which corresponds to our Section 80B (c) reads:—“ 83 (1). An election petition shall contain a concise statement of the material facts on which the petitioner relies . . . . ” It was held upon the English authorities and considerationsthat were before our Court in Thilakawardena v. Obeyesekera and • A. I. R. 1958 Madras 187 at 194.» A. 1. R. 1957 S. Q. 444.1 88 O. L. W. 29. 420 OIIDEK OF COURT —Senanaynke t-. De Silva Wickrema-suriya v. William de Silva (supra) in interpreting Rule 4 (1)(b) which required facts and grounds to be stated, that section 83 (1) was satisfied if the grounds on which the election is sought to be set aside alone are stated. Section 83 (3) of the Indian Act which gives the power to the Court to allow amendment of particulars is worded differently from our section 80C (1) and permits it to order further and better particulars in regard to any matter. Any matter was interpreted to “ comprehend the grounds on which the election is sought to be set aside ”. In the course of the judgment it was stated “",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/075-NLR-NLR-V-75-E.-L.-SENANAYAKE-Appellant-and-G.-B.-DE-SILVA-and-2-others-Respondents.pdf
NLR-75-068,"J. S. M. THASTHAKEER, Appellant, and P. J. N. JAYASEKERA,Respondent",S. C. 253171—M. C. Colombo South,1972,NLR Volume 75,Penal Code,", 16330IB Food and Drugs Act (Cap. 216)—Section 4 (1)—Charge thereunder against a salesman in respect oj a sale of Orange Jam—Quantum of evidence —Mens rea—Appli­cability of s. 72 of Penal Code to a statutory offence. RAJARATNAM, J .— Thaathdkeer o. Jayoatkera 8B9 The accused-appellant, who was a salesman in a shop, was charged with having contravened tho provisions of soction 4 (1) of the Food and Drugs Act by soiling an article of food (a bottle of Orange Jam ) which was not of the substance of food demanded by the purchaser. The Government Analyst gavo'ovidence that there was only 8 01%.of orange and 34% of Ash pumpkin in the article sold and that the ontiro fruit content was separated from the rest of the jam which contained sugar, glucose and water.",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/068-NLR-NLR-V-75-S.-M.-THASTHAKEER-Appellant-and-P.-J.-N.-JAYASEKERA-Respondent.pdf
NLR-75-052,"J. FATHIMA MIRZA, Appellant, and M. H. M. ANSAR, Respondent",S.C. 97-149. • P.L.D. (1959) Lahore 566.,1971,NLR Volume 75,Bail,"* (1945) A.I.R. Lahore 51. • ibid, at p. 56. • (1952) PJj.D., W.P. Lahore 113 ; see Fyzee’s Oases on Muhammadan Law inIndia and Pakistan, p. 169 at 186. ’ ibid, at p. 188. 312 WEERAMANTRY, J.—Mirza v. Ansar wife to seek dissolution of her marriage at the hands of a Quazi or a court, but they fall to be dealt with under the powers possessed by the husband as well as the wife under Muslim law as parties to the marriage contract.. One other case to be referred to is the older decision in Moonshee Buzvl-ul-Raheem v. Luteefut-oon-Nissa1, wherein it was decided that the khul form of divorce takes place at the instance of the wife and with the consent of the husband. A review therefore of the original sources, the commentaries of the great Islamic writers, the views of modern commentators and the dicta contained in the case law of this country would appear to point to the participation in the khula divorce of the husband himself. This Court- would be reluctant in the face of this body of authority to extend the law as hitherto understood in this country to enable a wife unilaterally to obtain this form of divorce from the public authorities. The contention of the appellant must therefor",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/052-NLR-NLR-V-75-FATIMA-MIRZA-Appellant-and-M.-H.-M.-ANSAR-Respondent.pdf
NLR-75-022,"158 H . N. G. FERNANDO, C .J .— Dharmapala v. The Queen",S. C. B. Walgampaya,1969,NLR Volume 75,Penal Code,", for the 2nd accused-appellant. S. Sinnetamby (assigned), for the 1st and 2nd accused-appellants. V. S. A. Pullenayegum, Senior Crown Counsel, with Priyantka Berera, Crown Counsel, for the Crown._ January 15, 1969. H..N. G. F e r n a n d o, C.J.— The two accused in this case were charged with the murder of one Naide on the basis of section 32 of the Penal Code. The jury retired at 10.20 a.m. and returned at 10.35 a.m. Thereafter the following is the record of the proceedings :— “ Clerk of Assize : By your divided verdict of 6 to 1, do you find this 1st accused Metiwala Kumbure Rajapaksegedera Dharmapala, guilty of the offence of murder ? Forem an: Yes. In regard to the 2nd accused also we are divided 6 to 1, and we find him guilty of aiding and abetting. Court to foreman of the ju ry : You don’t find that there was a common intention with the 1st accused to commit murder ? H . N. G. FERNANDO, C.J .— Dharmapala v. The Queen 109 Foreman : Court : Foreman : There was no charge of abetment and, naturally, ho explanation ^n the summing-up of the learned trial judge of the meaning in law of the offence of abetment. The above record shows that, firstly of his own accord, and,",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/022-NLR-NLR-V-75-M.-K.-R.-DHARMAPALA-and-another-Appellants-and-THE-QUEEN-Respondent.pdf
NLR-75-023,"180 SAMERAWICKRAME, J .—Jayakody v. Sub-Inspector of Police, Hettipola",S.C. 404-405j67—Application in Revision,1969,NLR Volume 75,Evidence Ordinance,"in M. C. Kviiyapitiya, 31421 Evidence Ordinance—Section IS —Scope—Charge of criminal offence (abduction )— Evidence of similar facts—Admissibility at stage of non-summary inquiry. Section 15 of the Evidenco Ordinance reads as follows:— “ When thero is a question whether an act was accidental or intentional, or done with a particular knowledge or intention, the fact that such act formed part of a series of similar occurrences, in each of which the person doing the act was concerned, is relevant. ”",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/023-NLR-NLR-V-75-J.-A.-D.-E.-K.-JAYAKODY-and-another-Petitioners-and-THE-SUB-INSPECTOR-OF-POLI.pdf
NLR-75-092,"FERNANDO, P .—Sothilingam v. The Queen DOi",C. C. A. No. 93-95/69,1972,NLR Volume 75,Criminal Law,"S. C. 16168—M. C. Mannar, 4245 Gottrl of Appeal—Applications for leave to appeal—Long delay in presenting them — Competency of Registrar to refuse to entertain the applications. Where the Registrar of the Court of Appeal made order refusing to entertain certain applications for leavo to appeal to the Court of Appeal whioh were presented nearly seventeen months after the rolevant date—",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/092-NLR-NLR-V-75-E.-SOTHILINGAM-and-another-Applicants-and-THE-QUEEN-Respondent.pdf
NLR-75-027,"J. D. SOMASIRI, Appellant, and THE QUEEN, Respondent",C. C. A. 37 of 1969,1969,NLR Volume 75,Evidence Ordinance,", with Application 49 8. C. 77/68 —M. C. Hambantota, 58198 Evtdence—Charge of murder—Motive for the crime—Inadmissibility of hearsay evidence—Evidence Ordinance, s. CO (7). The accused was charged with murder. Ho and the deceased had been good friends for a long period. In order to provo th at the accused had a motive for the alleged offence the prosecution led the evidence of two witnesses who stated th a t the deceased had, a few days before the alloged murder, informed his father th a t he had told the accused not to come to his house because his sisters were there.",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/027-NLR-NLR-V-75-D.-SOMASIRI-Appellant-and-THE-QUEEN-Respondent.pdf
NLR-75-091,"604 H. N. G. FERNANDO, C.J. —Thilakasiri v. Inspector of Police, Kalutara South",S. C. 796169—M. G. Kalutara,1972,NLR Volume 75,Penal Code,", 38725 Penal Code—Section 488—Charge of misconduct in public by a drunken person — “ Public place ” . A Government Hospital is not a public place within the meaning of seotion 488 of the Penal Code. APPEAL from a judgment of the Magistrate’s Court, Kalutara. A. C. de Zoysa, with Justin Perera, for the accused-appellant. Tivanka Wickremasinghe, State Counsel, for the Attorney-General. July 13, 1972. H. N. G. F e r n a n d o, C.J.— The accused in this case was convicted under Section 488 of the Penal Code of having, while in a state of intoxication, conducted himself in such a manner as to cause annoyance to other persons, in a public place to wit, the Nagoda Hospital. I greatly regret that owing to the loss of my brief and other circumstances, I have so long delayed to deal with this appeal. According to the evidence, the accused had been in a state of intoxication and was using filthy' language within the precincts of the Hospital. Had he been found in that condition in a Ward in that Hospital, there may have been some little justification for the opinion that the Ward is a public place. In this case however, the misconduct of the accused took place somewhere near the Hospital",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/091-NLR-NLR-V-75-U.-THILAKASIRI-Appellant-and-INSPECTOR-OF-POLICE-KALUTARA-SOUTH-Respondent.pdf
NLR-75-037,"J. M. A. M. ABDUL CADER, Applicant, and ASOKUMAR DAVID,Respondent",D. C. Putlalam,1972,NLR Volume 75,Criminal Law,", 6327 Court o f Appeal-—Judgm ent of Suprem e Court delivered prior to January 19, 1972 — Application for leave to appeal therefrom— Tim e lim it fo r filing each application — Court o f Appeal "" Leave to A ppeal Procedure ” Rules, 1972, Rule 7— Court of A ppeal A ct, No. 44 of 1971, as. 1, 2, 3, 11, 13 (1), 13 (3), 14, 18— Courts Ordinance {Cap. 6), Chapter V. Rule 7 of the “ Leave to Appeal Procedure ” Rules, 1972, which came into operation on January 19, 1972, reads as follows:— “ Applications for leave to appeal in any civil or criminal matter shall be made within twenty-one days of the delivery of the judgment from which it is sought to appeal. Provided, however, that until the coming into operation of these Rules, applications for leave to appeal shall be made within a reasonable timo and with the least possible delay. ”",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/037-NLR-NLR-V-75-M.-A.-M.-ABDUL-CADER-Applicant-and-ASOKUMAR-DAVID-Respondent.pdf
NLR-75-069,Paul v. Wijerama 301,S. C. B. Walgampaya and Palitha Kohona,1972,NLR Volume 75,Criminal Law,", for the respondents. Cur. adv. vult. April 24, 1972. A l l e s, J.— This is an application for a mandate in the nature of Writs of Certiorari and Prohibition seeking to quash the proceedings of a disciplinary inquiry held by the Ceylon Medical Council and to restrain them from conducting any further proceedings against the petitioner, who was found guilty by the Council on a charge of infamous conduct in a professional respect . This is the first occasion, as far as I am aware, when it has been sought to canvass a decision of a professional body like the Ceylon Medical Council before a Court of law and it is therefore necessary at the outset to examine how far the Courts of law can interfere in a matter which pre-eminently comes within the purview of such a body. The findings of a professional body in regard to the conduct of a member of the same profession are matters that properly fall within the ambit of that body who are the best judges as to whether there has been a breach of professional ethics or not. Every profession maintains its own standards and.is jealous of its own code of professional conduct. Indeed it is proper in the interests of public policy that such high stan",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/069-NLR-NLR-V-75-A.-T.-S.-PAUL-Petitioner-and-E.-M.-WIJERAMA-and-9-others-Respondents.pdf
NLR-75-028,174 Punchirala v. The Queen,C. C. A. 36 of 1970,1970,Volume NLR-75,Criminal Law,", with Application 62 . 8. C. 607169—M. C. Ttincomalee, 6949 Trial before Supreme Court —Accused’s unsworn statement from the dock —-Evidential value—Misdirection. G. P. A. SILVA, S.P.J .—Punchirala v. The Queen 1«6 Where, at a trial before the Supreme Court, the acousod makes a statement from the clock, the Judge, would be misdirecting the jury if he tells them that they should consider the statement of the accused hut that “ it is not of much value having regard to the fact that it is not on oath and not subject to cross- examination.” Per Curiam —“ While it was necessary to point out to the Jury the infirmities attaching to a statement from the dock, the only material in this case on behalf of the accuseu boing that statement, it was the duty of the trial Judge to leave ' the considerations of that statement, entirely to the Jury untrammelled by an expression of opinion by him.” .A.PPEAL against a conviction at a trial before the Supreme Court. E. R. S. R. Coomaraswamy , with Siva Rajaratnam, H. Mendis,T. Joganathan, S. C. B. Walgampaya, N. Vilcassim and (assigned)M. Nassitn, for the accused-appellant. T. A. de S. Wijesundere, Senior Crown Counsel, with R. Abeysuriya, C",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/028-NLR-NLR-V-75-W.-G.-PUNCHIRALA-Appellant-and-THE-QUEEN-Respondent.pdf
NLR-75-090,"J. G. D. GUNASEKERA, Appellant, and KOSGAMA POLICE, Respondent",S. C. 394/70—M. C. Avissawella,1972,Volume NLR-75,Penal Code,", 87796 Conciliation Boards Act No. 10 of 1958—Section 14 ( 1) (6)—Plaint entertained in Magistrate's Court without Chairman’s certificate— Offences alleged punishable under ss. 410 and 486 of Penal Code— Defect in Schedule to Conciliation Boards Act—Objection relating to jurisdiction— Whether it can be raised for first time at stage of appeal—Difference between latent and patent want of jurisdiction — Absence of Chairman's certificate— Whether it is an irregularity curable under s. 425 of Criminal Procedure Code— Proceedings instituted by Police on behalf of State— Whether Chairman's certificate is necessary then— Interpretation Ordinance, s. 3— Criminal Procedure Code, ss. 290, 425. The accused-appellant was convicted by a Magistrate’s Court of the offences of mischief and intimidation (punishable under sections 410 and 486 of the Penal Code respectively) for causing damage to a C.T.B. bus and threatening to stab the driver of the said bus. The proceedings were instituted by the Police on behalf of the State. Objection was taken for the first time in appeal that the Magistrate had no jurisdiction to entertain the plaint in the absence of a certificate issued in accordance with the provisions of section 14 (1) (6) of the Conciliation Boards Act. Admittedly a Conciliation Board had already been appointed for the area where the alleged offences were committed.",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/090-NLR-NLR-V-75-G.-D.-GUANSEKERA-Appellant-and-KOSGAMA-POLICE-Respondent.pdf
NLR-75-082,"J. K. KANDAKUTTY, Appellant, and THE QUEEN, Respondent",C. C. A. Ap p e a l No. 79 o f 1970,1971,Volume NLR-75,Criminal Law,", w it h A p p l ic a t io n No. 128 S.C. 109170—M.G. Kalmunai, 38125 Charge of murder—Defence of accident—Burden of proof —Misdirection . In a prosecution for m urder by shooting, the defence was th a t the deceased man was Bhot accidentally in consequence of an attem pt made by another man to wrest the accused's gun.",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/082-NLR-NLR-V-75-K.-KANDAKUTTY-Appellant-and-THE-QUEEN-Respondent.pdf
NLR-75-081,"WAHAB and another, Appellants, and INSPECTOR OF POLICE, PETTAH, Respondent",,1978,Volume NLR-75,Criminal Law,"Present: Rajaratnam, J. WAHAB and another, Appellants, and INSPECTOR OF POLICE, PETTAH, Respondent S . O. 726-727171— M . C. Colombo, 40810/A Control of Prices Act—Section i (5)—Charge of contravention of a Price Order—Date of Minister's approval of the Price Order—Desirability of referring in (A c charge to the relevant Gazette. »(1670) 73 N, L. R. 45. RAJARATNAM, J ,— Wohob c. Inapeetct of Police, Pettoh 4SS In a prosecution for oontravention of a Prioe Order under the Control of Prices Act, it would be very desirable if th e charge refers to the Gooemijwnt Qotette giving the dale of the Minister's approval of the Prioe Order in terms of seotign i (5) of the Control o f Prices Act, especially when there U a long interval of time between the date of the Price Order and the offence, A p p e a l from a judgment of the Magistrate's Court, Colombo, M . Tiruchelvam, with A. Sivanathan, for the accused-appellants. P. Ramanathan Counsel for the State, for the Attomoy-Clenoral. Cur, adv. vult. July 20, 1972. R ajaratnam, J.— The accused-appellants in this oase were charged under the Control of Prices Act for having sold a pound of beef for Re, 1*5Q when the controlled price was Ro.",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/081-NLR-NLR-V-75-WAHAB-and-another-Appellants-and-INSPECTOR-OF-POLICE.-PETTAH-Respondent.pdf
NLR-75-061,"J. M. A. S. D E ALW IS, Appellant, and THE QUEEN, Respondent",C. C. A. 119 o f 1971,1972,Volume NLR-75,Criminal Law,", w i t h A p p l i c a t i o n 164 S. C. 271/71—M. C. Gampaha, 26072/B Summiny-up—Burden of proof—Misdirection thereon—Inapplicability then of proviso to s. ( 1) of Court of Criminal Appeal Ordinance. The proviso to section 5 (I) of the Court of Criminal Appeal Ordinance permitting the dismissal of an appeal on tho ground that no miscarriage of justice has actually occurred even though the point raised on behalf of the appellant might be decidod in his favour i3 not applicable to a case where there has been a clear misdirection by the trial Judge on the burden of proof. A p p e a l against a conviction at a trial before the Supreme Court. Raja Gunaratne (assigned), for the accused-appellant. Ian Wikramanayake, Senior Crown Counsel, with D. Halangoda, Crown Counsel, for the Crown. March 7, 1972. G. P. A. Silva , S.P.J.— The accused-appellant in this case was indicted on two counts, namely, of the murder of Madurapperuma Arachchige Karunasena de Alwis and of the attempted murder of Madurapperuma Arachchige Peiris de Alwis. The incident in which the offences were committed is said to have taken place at about mid-night on the day in question. The principal witness for the prose",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/061-NLR-NLR-V-75-M.-A.-S.-DE-ALWIS-Appellant-and-THE-QUEEN-Respondent.pdf
NLR-75-024,Murugesu v. Weerakoon160,S. C. 129-130/71—M. C. Nuwara Elitja,1971,Volume NLR-75,Penal Code,", 40539 Penal Code—Section 354—Offence of kidnapping a girl from lawful .guardianship— Burden of proof as to age of girl. Where a person is charged with kidnapping a girl from lawful guardianship in breach of section 364 of the Penal Code, the burden is on the prose ution to prove th a t the girl was under 10 years of age a t the time of the offence. If the prosecution has failed to produce the birth certificate of the girl after dates have been obtained for its production, the mere ipse dixit of the father of the girl is insufficient to discharge the burden of proof if the girl appears to be of an age very near to the marginal age. WEERAMAJSiTRY, J .—Murugesu v. 1Veerakoon 187 A .PPE A L from a judgment of the Magistrate’ s Court, Nuwara Eliya. C.'Motilal. Nehru, with A. Chinniah, for the accused-appellants. K. W. D. Perera, Crown Counsel, for the Attorney-General. April 20, 1971. Weeramantry , J.— In this case the 1st accused is charged with kidnapping a girl named Pushpa and the 2nd accused with abetting the commission of the offence of kidnapping. The kidnapping was alleged to be from the lawful guardianship of Kalimuttu wife of Munian and the offence is one punishable und",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/024-NLR-NLR-V-75-K.-MURUGESU-and-another-Appellants-and-R.-M.-WEERAKOON-S.-I.-Police-Respond.pdf
NLR-75-017,"134 A riyadasa v. Inspector ef Police, N aw alapitiya",S. C. 699/68—M. C. Nawalapitiya,1971,Volume NLR-75,Criminal Procedure Code,", 8297 Control of Prices Act—Charge of selling price-controlled article at excessive price — Omission to state therein the name of the buyer —Effect—Criminal Procedure Code, s. 111. In a prosecution for selling a price-controlled article at an excessive price the failure to state in the oharge the name of the person to whom the artiole was sold would not per se vitiate the oonviction of the aooused if the accused was not misled by the omission. SAMERAWICKRAME, J .—Ariyadaaa v. Inspector of Police, Nawalapitiya 136 A p p e a l from a judgment of the Magistrate’s Court, Nawalapitiya. 0. E. Chitty, Q.C., with E. A. 0. de Silva, for the accused-appellant. Ranjith OunaiUake, Crown Counsel, for the Attorney-General. Cur. adv. mtU. September 1, 1971. Sa m e r a w ic k r a m b, J.— The charge against the appellant read :—“ You are hereby charged, that you did, within the jurisdiction of this court, at No. 46, Gampola Road, Nawalapitiya, on 23rd August, 1967 being a place in the Divisional Revenue Officer’s division of Pasbage Korale in the Kandy Distriot in which Food and Price Order No. KD. 129 made by Assistant Controller of Prices (Food) under section 4 read with section 3 (2) of",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/017-NLR-NLR-V-75-H.-M.-ARIYADASA-Appellant-and-INSPECTOR-OF-POLICE-NAWALAPITIYA-Respondent.pdf
NLR-75-104,"J. A. M. ABDUL SALAM, Appellant, and S. SENEVIRATNE,  Respondent",S. C. 770/71—M. C. Matale,1972,Volume NLR-75,Criminal Procedure Code,", 33685 Sentence—Detention in precincts of court in lieu of imprisonment—Not permissible where a minimum jail sentence of. more than seven days is imperative—Punish­ment for profiteering in contravention of Control of Prices Act—Criminal Procedure Code, ss. 15A, 15B, 325. Where an offonco is punishable with an imperative jail term, section 16B of the Criminal Procedure Code empowers the court, in appropriate circum­stances, to impose a sentence of detention in the precincts of the court in lieu of imprisonment. But where an offence is punishable with an imperative jail term and there is a minimum imperative term in al of more than seven days to that jail term, the court cannot act under section 16B of the Criminal Procedure Code. Accordingly, where a person is convicted for an offence of profiteering in contravention of the Control of Prices Act, and the penal provision for the offenoe carries a minimum jail sentence for four weeks which is imperative, the court oannot make an order under section 15B of the C rim in a l Procedure Code. RAJARATNAM, J .—Abdul Scdam v. Seneviralne 671 . A p PEAL from a judgment of the Magistrate’s Court, Matale. L. D. Quruswamy, for the accused",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/104-NLR-NLR-V-75-A.-M.-ABDUL-SALAM-Appellant-and-S.-SENEVIRATNE-Respondent.pdf
NLR-75-072,Unknown,S. C. 529/70—M. C. Negombo,1971,Volume NLR-75,Criminal Procedure Code,", 16535 Excite Ordinance (Cap. 52)—Section 47—Charge of illegal possession of an excitable article—Requirement of strict proof of the identity of productions. I n a prosecution for illegal possession o f a n excisable article, it is th e d u ty o f th e prosecuting officer to ensure th a t th e re can be no d o u b t w hatsoever in regard to th e id en tity o f th e productions in th e case. A p p e a l from a judgment of the Magistrate’ s Court, Negombo. E. H. C. Jayetileke, for the accused-appellant. Tyrone Fernando, Crown Counsel, for the Attorney-General. March 15, 1971. Strimatto, J.— The appellant has been convicted under Section 47 of the Excise Ordinance for having had in his possession 80 drams of unlawfully manufactured distilled spirits. Counsel for the appellant in this case has very strongly urged that the production sent to the Government Analyst for examination was not part of the distilled spirits found with the appellant, even assuming that the appellant did have some spirits in his possession. In cases of this kind it is the duty of prosecuting officers to ensure that there can be no doubt whatsoever in regard to the identity of the productions in the case. 8 IR",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/072-NLR-NLR-V-75-P.-WANIGARATNE-Appellant-and-S.-PALAPITIYA-S.-I.-Police-Respondent.pdf
NLR-75-006,"J. E. SAMITHAMBY, Appellant, and THE QUEEN, Respondent",C. C. A. 84 of 1971,1971,Volume NLR-75,Penal Code,", with Application 116 3. C. 456j70—M. G. Batticaloa, 29047 Penal Code—Section 294, Exception 1—""Deprivation of the power of self-control by grave and sudden provocation ”—Interval of time between provocation and killing—Circumstances when the exception would be applicable even then . A n offender m ay be said to have been deprived o f his pow er of self-control by grave and sudden provocation w ithin the m eaning of E xception 1 to section 294 of th e Penal Code even though there was an interval o f tim e betw een the giving o f th e provocation and the tim e of th e killing, if th e evidence show s th at, all the tim e during th e interval, the accused suffered und er a loss of self-control. A p p e a l against a conviction at a trial before the Supreme Court. V. E. Sdvarajah, with (assigned) B, B. D. Fernando, for the accused- appellant. E. D. Wikramanayake, Crown Counsel, for the Crown. Cur. adv. wit. August 3,1971. H. N. G. F e r n a n d o, C.J.— The accused in this case was convicted of committing the murder of his wife on 13th September, 1969. There was no doubt that the accused did in fact cause the death of his wife by a stab injury. The accused gave evidence in hi",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/006-NLR-NLR-V-75-E.-SAMITHAMBY-Appellant-and-THE-QUEEEN-Respondent.pdf
NLR-74-123,"520 H. N. G. FERXANDO, C.J .—Harikrishnan v. Weerasinghc",S. C. Chandrahasan,1969,Volume NLR-74,Criminal Law,", for the accused-appellants. Shibly Aziz, Crown Counsel, for the Attorney-General. December 6,1969. H. N. G. F e r n a n d o , C. J.— I see no reason to interfere with the conviction and sentence of the 1st accused on the first count. W ith regard to the second count the charge against these accused was that “ being traders ” they failed to exhibit a notico specifying the maximum price of mutton. There was no evidence however that either the 1st or the 2nd accused was a trader. In regard to the 1st accused the evidonce was that he was a salesman and in regard to the 2nd accused. the evidonce was that he was the cashier. In the present contoxt of the sale of meat at a butcher’s stall, I think counsel for tho appellant quite rightly relied on tho references in the Butchers Ordinance to the trade of a butcher and to the licensing system applicable to that trade. When therefore a person is charged with having committed a breach of a prico control order as a trader, that word must properly be given a meaning similar to the meaning of tho same word when it occurs in the Butchers Ordinance. I would therefore acquit both the accused on tho second count. In regard to tho cha",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/123-NLR-NLR-V-74-M.-HARIKRISHNAN-and-another-Appellants-and-H.-WEERASINGHE-O.-I.-C.-Central-V.pdf
NLR-74-019,"J. K . A. CHAR LIS, Appellant, and TH E QUEEN, Respondent",C. C. A. A p p e a l N o . 159 o f 1967,1968,Volume NLR-74,Penal Code,", w it h A p p l i c a t i o n N o . 2 0 7 S. C. 28167—M. C. Malara, 32323 Pawl Code—Scope and purpose of s. 20-i—Distinction between murder and culpable homicide not amounting to murder—Murderous intention —Misdirection. Whero A strikes Vj with tho intent ion of causing bodily injury, and /! dies in ecmsequenco of tho blow, although tho blow is not sufficient in tho ox'dinary courso of naturo to causo tho doafh of a person in a sound state of hoalth, it would bo a misdirection to toll tho jury that, according to tho provisions of tho second paragraph of section 294 of tho Penal Code, A is liablo to bo convicted of murder. A caso which does not fall within tho third limb of section 294 of the Penal Code is not one of murder, unless tho offondor actually knows of a rather special peculiarity or defect suffered by tho injured person and knows also that for that reason tho injury caused to him is likely to cause his death. iV P P E A L against a conviction at a trial before tlic Supreme Court. Colvin B. de Silva-, with Nihal Jayawickraina, S. S. Wijeralne and (assigned) A. 31. Coomara-swamy, for the accused-appellant. E. R. de Fonseka, Senior Crown Counsel, for the Crown. C",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/019-NLR-NLR-V-74-K.-A.-CHARLIS-Applicant-and-THE-QUEEN-Respondent.pdf
