case_a_id,case_b_id,case_a_facts,case_b_facts,category_a,category_b,label
NLR-66-133,SLR-2014-V1-038,", 18,359 Trial before Supreme Court— Charge of possessing or using a forged or counterfeit currency note—Burden of proof —Evidence—Effect of admission of irrelevant evidence—Limits within which the Judge may ask questions from a witness — Penal Code, ss. 478B, 478C—Evidence Ordinance, s. 165. In a prosecution for possession or use of a forged or counterfeit currency note the burden is on the prosecutor to prove th at the accused knew or had reason to believe th a t the currency note referred to in the charge was forged or coimterfeit. Although no objection is taken a t the trial to the admission of irrelevant ovidence, a verdict founded on such evidence is bad. Assuming th a t it is open to a Judge in a trial by jury to employ the provisions of section 165 of the Evidence Ordinance to put questions to a witness, then, if he asks questions about any facts which are irrelevant, it is incum bent on him to draw the attention of the j ury to those facts and direct them th a t they m ust not base their verdict on those facts elicited by him which are irrelevant. A Judge acting under section 165 should be wary in questioning witnesses under the powers conferred thereby, especially when th","HC welIkADA 493/2006 possession and trafficking of heroin – Rejection of evidence by trial Judge – Evaluation of evidence – Defence witness entitled to equal treatment with those of the prosecution – Reasonable doubt – Corroboration. The accused – appellant was convicted for being in possession of 43.1 grams of heroin and trafficking the said amount, was imposed life imprisonment on both counts. On appeal, it was contended that the heroin was foisted on him and that, the trial Judge has rejected the evidence of the accused without evaluating same.",Penal Code Offences,"Poisons, Opium & Dangerous Drugs",0.0
NLR-73-050,NLR-72-075,", 16199 ■Charge of murder—Summing-up—Non-direction. In (ho summing-up on a chargo of murdor, tho trial Judge ropeatodly exprossed his own opinion that the accused had actod with murderous intontion. An alternative verdict of culpable homicide not amounting to murder was not even mentioned.",", 36626 Contempt of Court—Tampering with a juror in the course of a pending case — Punishability—Courts Ordinance [Cap. 6), s. 47. Where, while a trial before the Supremo Court is proceeding, a person attempts to intorfero with one of the jurors with tho intention of influencing the decision of tho juror in the case, ho is liable to be punished for tho offenco of contempt of Court under section 47 of tho Courts Ordinance. R u l e under section 47 of the Courts Ordinance. Ci. E. Chilly, Q.G., with Sena Wijewardene, G. E. Chilly (Junior) and Sam Siloa, for the respondent. T. A. de S. Wijesundera, Senior Crown Coiuisel, as Amicus Curiae. Cur. ado. oult. July 18, 196S. A l l e s, J.— In this matter the respondent, Mrs. Lillian Rajapakse, was asked by me to show cause why she should not be punished for the offence of contempt in that she did, on 25th June 196S, attempt to interfere with one of the jurors in S.C. 290/66 ; M.M.C. Colombo 36626, then being tried 1 [1S9S) Matara Cases 10. .4LLES, J .— In re Rajaf.a\se 353 by a Judge and a jury before the Supreme Court at Colombo and which interference was likely to influence the decision of the juror ill the case. In S.C. 290/60,",Penal Code Offences,Penal Code Offences,1.0
NLR-70-118,NLR-67-058,"P r e s e n t: Samerawickrame, J. E. A. MOULIN NONA, Appellant, a n d J. A. V. ROUTHLEDGE, Respondent 8 . C. 8 3 9 /6 6 , w ith A p p lic a tio n 3 7 2— M . C. A v issa w ella , 65467 Criminal trespass—Intention to annoy—Quantum of evidence. The accused-appellant, who was a m arried woman working on an estate, continued to be in occupation of h er lineroom after she was given notice to quit it. The evidence showed th a t her dom inant intention was to rem ain w ith her husband and her family in th e lineroom of which her husband continued to fem ain in occupation after bis em ploym ent on the estate bad been term inated. . • • •",", 2827/X Dstiots Conversion— Inapplicability in Ceylon of English doctrine of conversion — Difference between Roman-Dutch law and English law — Cheques—Forgery of payee'8 indorsement in a “ not negotiable ” cheque— Conversion of the cheque — Action filed by drawer for recovery of damages or for money had and received — Maintainability— Civil Law Ordinance {Cap. 79), e. 3— Bills of Exchange Ordinance (Cap. 82), ss. 82, 98 (2). An action doee not lie in respect of the tort of conversion. The English doctrine o f conversion is not part of our law. A “ not negotiable ” cheque, the indorsement of the payee of which was forged, was transferred by the forger or someone on his behalf to the defendant. The sum o f Re. 1,175'25 represented by the cheque was credited by the defen­ dant’s bank to the account of the defendant and a like sum was debited in the samo bank to the account o f the plaintiffs, who were the drawers of the chequo. The plaintiffs sued the defendant in the present action to recover the sum. They averred that the indorsement of the payee had been forged, that the defendant had therefore no title to the cheque and consequently had no lawful authority to convert the cheque t",Penal Code Offences,Penal Code Offences,1.0
NLR-75-006,NLR-67-002,", with Application 116 3. C. 456j70—M. G. Batticaloa, 29047 Penal Code—Section 294, Exception 1—""Deprivation of the power of self-control by grave and sudden provocation ”—Interval of time between provocation and killing—Circumstances when the exception would be applicable even then . A n offender m ay be said to have been deprived o f his pow er of self-control by grave and sudden provocation w ithin the m eaning of E xception 1 to section 294 of th e Penal Code even though there was an interval o f tim e betw een the giving o f th e provocation and the tim e of th e killing, if th e evidence show s th at, all the tim e during th e interval, the accused suffered und er a loss of self-control. A p p e a l against a conviction at a trial before the Supreme Court. V. E. Sdvarajah, with (assigned) B, B. D. Fernando, for the accused- appellant. E. D. Wikramanayake, Crown Counsel, for the Crown. Cur. adv. wit. August 3,1971. H. N. G. F e r n a n d o, C.J.— The accused in this case was convicted of committing the murder of his wife on 13th September, 1969. There was no doubt that the accused did in fact cause the death of his wife by a stab injury. The accused gave evidence in hi",", w i t h A p p l i c a t i o n 103 S. G. 41.—M. G. Panadura, 81251 Trial before Supreme Court— Defence of alibi— Burden of proof —Misdirection. The accused-appellant was charged with murder, and his defence was that of alibi. The prosecution relied on the evidence of a witness who stated that he saw the accused stabbing the deceased. The accused called as his witness a man, S, who stated that, at the time of the offence, the accused was seen at a boutique which was about one-eighth of a mile away from the scene of the offence. When the trial Judge, in his summing-up, dealt with S’s evidence, he omitted altogether to give the jury any direction as to what they were to do if they neither accepted S’s evidence as true nor rejected it as untrue.",Penal Code Offences,Penal Code Offences,1.0
NLR-73-009,NLR-64-014,"e nature of a Writ of Quo Warranto under Section 42 of the Courts Ordinance Local authorities—Election of a member of a local authority—Whether its validity can . be challenged on ground of general undue influence andjor general treating — Quo Warranto— Village Councils Act, s. Jo—State Council ( Elections) Order in Council, J93J, ss. 48, 74—Local Authorities Elections Ordinance (Cap. 262), ss. 9, 9 (J)(k), JO, 24 to 69, 79, 8J, 83—Interpretation of statutes—Introduction of a single section of an Act into another Act —Effect-on interpreting the latter Act. Gonora) undue influence, or general treating is not a ground under the Local Authorities Ordinance to challenge, by way of Quo Warranto proceeding, the validity of the election of a member for the ward of a Village Council. Tho principle that an election must bo free, in the sense that votes of electors must not be influenced by general bribery or general undue influence, is not recognized by the implications to be inferred from section 69 of tho Local Authorities Elections Ordinance. Piyadasa v. Goonesinha (42 N. L. R. 339) overruled. Where e single Section of an Act is introduced into another Act, it must be read",". HJS/of) Appeal—Statute enublimj appeal to Supreme Court—Incapacity of appellant to attack validity of the statute—Bribery Act No. 11 of 1954, as amended by Act No. 40 of 195S—Appeal thereunder—Appellant cannot • attack validity of entire Act. Where an appeal is preferred to the Supreme Court, it is not competent for the appellant to attack as invalid the very Act of Parliament -which alone confers on him the right of appeal. Any rolief on the ground of the invalidity of the Act must bo found by a process other than appeal. Accordingly, where the Bribery Act is attacked as invalid, the right of appeal conferred by the Act cannot bo exercised, and somo remedy other than appeal should be sought. A p p e a l under the Bribery Act. M . Tiruchelvam, Q.C., with K . Thevurajah, for the accused-appellant. V. S. A. PuUenayegum, Crown Counsel, for the respondent. Cur. aclv. vult. April 5, 1962. T. S. F e r n a n d o , J.— In. Senadhira v. The Bribery Commissioner 1 this Court upheld an argument that the power given by the Bribery Act, No. 11 of 1954, as amended by the Bribery (Amendment) Act No. 40 of 195S, to a Bribery 1 (1961) 63 N. L. R. 313. 04 T. S. FERNANDO, J .—Don Antho",Bribery & Public Corruption,Bribery & Public Corruption,1.0
NLR-78-042,NLR-65-017,7 2 0 1 8 /M Customs Ordinance—Goods seized as forfeit under Sections 12 and 43 of the Customs Ordinance read with the Import and Export (Control) Act and regulations thereunder—Burden of proof of lawful importation under Section 152 of the Customs Ordinance— Imposition of forfeiture under Section 129 of the Customs Ordinance—Application of Section 152 to cases arising under Section 129— Section 107 discussed. The Plaintiff instituted an action against the Attorney-General inter alia for a declaration that the forfeiture under the Customs Ordinance of wrist watches and other articles was unlawful and that the imposition of a forfeiture of treble the value of the said articles was illegal. The Attorney-General in his answer pleaded that the aforesaid articles were imported into Ceylon contrary to the restrictions contained in Sections 12 and 43 of the Customs Ordinance read with provisions of the Import and Export Control Act and the regulations made thereunder. The articles were accordingly seized as forfeit to the State. The Attorney-General further pleaded that the imposition of the forfeiture of treble the value of the articles seized was under Section 129 of the Customs Ordinan,"Present: Sansonl, J. (President), H. W. 6. Fernando, 1., and L. B. de Silva, J.. THE QUEEN v. D. J. F. D. LIYANAGE and others Trial at Bar No. 2 of 1962 Trial at Bar—Criminal Law (Special Provisions) Act, No. 1 of 1962, ss. 6,9,17,18,19, 21—Criminal Law Act, No. 31 of 1962, s. 6 —Bench constituted under Act No. 1 of 1962—Loch of jurisdiction to hear information—Second information filed by virtue of Act No. 31 of 1962—Jurisdiction of Court to hold trial thereon—Invalidity of plea in the nature of autrefois arraign— Validity of ex post facto legislation— Validity of legislation enacted in English language after 1st January 1961—Penal Code, ss. 69, 72, 114,115,116—Criminal Procedure Code, ss. 440A ( 1), 440B—Courts Ordinance, s. 19—Ceylon ( Constitution) Order in Council, 1946, ss. 29 (4), 36, 38—Declaration of Human Rights (United Nations Organisation), Article 11—Official Language Act, No. 33 of 1956, s. 2 —Revised Edition of the Legislative Enactments Act, No. 2 of 1956, s. 12 (3). On 23rd June 1962 the Attorney-General filed in the Supreme Court an information against the defendants under the provisions of the Criminal Law (Special Provisions) Act No. 1 of 1962. Summons was issued",Penal Code Offences,Penal Code Offences,1.0
NLR-74-030,NLR-59-118,", JJ757/A.—In the matter of an Application for Bail in terms of Section 15 of the Court of Criminal Appeal Ordinance Court oj Criminal Appeal Ordinance [Cap. 7)—Section IS—Grant of bail thereunder — .Requirement of exceptional circumstances—llclevancy of sentence. Roloaso on bail ponding appeal (o (ho Court of Criminal Appeal will only bo granted in exceptional circumstances. Whore tho sontonco is a long one, tho moro circumstanco that tho hoaring of tho appeal is not likely to (ako placo for a fortnight o ra month is of itself no ground for tho grant of bail. .A P P L I C A T I O N fo r ba il u n der section 15 o f th o C o u r t o f C rim inal A p p eal O rd in a n ce. V. Shanmuganathan, fo r th e p etition er. S. W. B. Waducjodcipiliya, C row n Counsel, fo r th e C row n . Cur. culv. mill.- January' 3, 1969. W e e r a m a x t r y , J . — T h o p e titio n e r in th is case has been co n v icted o n a ch a rg e o f a tte m p te d m u rder a n d h as been se n te n ce d to a term o f fo u r y e a r s ’ rigorou s im p rison m en t. A g a in s t th is co n v ictio n and s c n tc n c o h o h as a p p ea led to th e C o u rt o f C rim in a l A p p e a l. T h e p e titio n e r",", 1,311 Excisable article—Unlawful possession alleged against husband and wife—Proof of conscious possession—Excise Ordinance, ss. 43 (a), 50. Where an excisablo article is found inside a house, the chief occupant is not liable to be prosecuted for unlawful possession of it unless there is evidence- that ho was in conscious possession of it. ./^ P P E A L S from a judgment of the Magistrate’s Court, Kandy. ' M. M. Kumaralculasingham, for the accused-appellants. Shiva Pasupali, Crown Counsel, for the Attorney-General. Cur. adv. vult. November 25, 1955. W e e r a s o o r i y a , J.— Learned counsel who appeared for the two accused-appellants (who are husband and wife) submitted that the prosecution version that five gallons'of fermented toddy in various utensils were found in the kitchen ■ of the house occupied by the appellants should not have been accepted tV E E R A S O O R I Y A , J .— Alice v. Excise Inspector, Kandy 551 by the trial Judge in view of certain contradictions in.,the evidence of the two principal witnesses who spoke to the raid. But the trial Judge, no doubt, took into consideration these contradictions when ho decided that the testimony of the witnesses",Bail Law & Remand,Criminal Procedure & Jurisdiction,0.0
SLR-2005-046-SLLR-SLLR-,SLR-2011-V2-242,"for relief for infringement of fundamental rights D. S. W ijesinghe, PC, with Sanjeewa Jayawardena for petitioners. Parinda Ranasinghe (Jr), State Counsel, for respondents. Cur.adv. vult. SC Ratnayake and Another vs 325 Mediwaka, Deputy Inspector General of Police. Kandy and others (Bandaranayake. J.) February 24, 2005 SHIRANI A. BANDARANAYAKE J. The 1st and 2nd petitioners, being the husband and wife respectively, were the partners of Hotel Sunray, situated at No. 117/8, Anagarika Dharmapala Mawatha, Kandy, They alleged that their fundamental rights guaranteed in terms of Articles 11, 12(1) and 14( 1 )g of the Constitution were infringed by the actions of the 1 st to 5th respondents for which this Court granted leave to proceed in respect of the violation of the aforementioned Articles of the Constitution. Consequent to the conclusion of the oral arguments, learned President’s Counsel for the petitioners submitted by way of further written submissions that the petitioners’ substantive complaint is against the 1 st, 2nd, 3rd and/or 5th respondents only. The petitioners’ version Hotel Sunray is a multi-storied building situated at a central location in Kandy. The hotel","NO. HCEP 2399/06 Criminal Procedure Code·Section 176, 177, Section 178[1], 178[2] · Penal Code Section 296, Section 315, Section 358 · Charged for murder·Convicted under Section 315 and Section 358 · Applicability of Section 178[1][2] of the Criminal Procedure Code·Minor offence of the main offence? Does Revision lie? The accused was charged under Section 296 of the Penal Code, but convicted under Section 315 and Section 358 of the Penal Code. It was contended that when an accused is charged with the offence of murder, offence under Section 358 cannot be considered as a minor offence under Section 178 [2] Criminal Procedure Code.",Criminal Procedure & Jurisdiction,Penal Code Offences,0.0
NLR-76-093,NLR-72-086,"S. C. 97/72—M. C. Rakwana, 52176 Trial before Supreme Court—Conviction of accused based solely on circumstantial evidence—Misdirection on most vital point—Other evidence of an equivocal nature—Liability of the conviction to be set aside—Police Information Book—Statements therein that formed no part of the evidence upon which the verdict was returned—Incapacity of the Court of Criminal Appeal to examine them—Criminal Procedure Code, s. 122 (3). FERNANDO, P.—Punchi Mahattaya v. The State 565 The accused-appellant was convicted, at a trial before the Supreme Court, on a charge of murder. His appeal to the Court of Criminal Appeal was dismissed. The case for the prosecution depended solely on circumstantial evidence. Misdirection, however, was present and established on the most vital point. Moreover, the other evidence was at best but of an equivocal nature and raised, on the whole, only a probability of the guilt of the appellant.",", 2612 Control of Prices Act—Sections 4 (1) and S (5 )—Extent of employer’s liability for his employee's offence—Price Order made for an outslalion district—Regulation prices according to prices for the time being fixed for the Colombo municipal area— meaning of words “ for the time being ”— Validity of the Price Order. (i) Where an employer and his employee ore charged together for selling an article at a prico in excess of tho controlled price, the employer is not liable under section S (S) of the Control of Prices Act for the offence of his employee unless ho is charged on that footing and is given an opportunity of proving the matters stated in that statutory provision. (ii) A Price Order applicable to the Badulla municipal area provided for tho fixing of the maximum retail price of red onions according to tho maximum retail price for the timo being fixed for the Colombo municipal area.",Penal Code Offences,Penal Code Offences,1.0
NLR-66-070,NLR-73-034,", this court has held that the finality conferred by section 28 (5) does not attach to a "" removal order ” which is ex facie bad. The “ removal order ” being bad the only conclusion to be reached is that the corpus in each of these applications is in illegal custody. Therefore, I would grant these applications and order their immediate release. The petitioner is entitled to costs fixed at Rs. 210 in respect of each application. In ordinary circumstances there would be nothing more to add. But in more than one case it has been noticed that after obtaining a “ depor­ tation order ” or “ removal order ” either on suspicion or on insufficient material—perhaps, moved by an excessive zeal to get rid of people— the officers of the Immigration and Emigration Department adopt the questionable procedure of recording alleged “ confessions ” of detainees who are in police custody. In these applications too this procedure has come to light and it calls for comment. 312 SRI SKANDA RAJAH, J .—Sdlamuttu v. Solomons If the material before the authorized officer was sufficient to “ satisfy ” him as required by section 28 (2) what was the necessity to record alleged “ confessions ” by",", with assigned Counsel Miss M. V. Barr Kumara- kulasinghe, for the 2nd accused. Colvin B. de Silva, with II. 31. Jayatissa Herath and assigned Counsel Miss A. P. Abeyralne, for the 3rd accused. 156 The Queen v. Gnanascrha Thcro and others Neville Samarakoon, with Felix Dias Bandaranaikc, Nihal Jayawickrama* Tissa Wijeratne, Anil Obeysekera and Percy Karunaralne, for tho 4th accused. * 1 Malcolm, Perera-, with P. 0. IVimalanaga, R. Weerakoon and assigned Counsel M. de S. Boralessa, for the 5th accused. D. T. P. Rajapakse, with P. A. D. Samarasekera, Upali de Z. Guna- wardena and assigned Counsel B. B. D. Fernando, for tho 6th accused. G. G. Mendis, with A. B. A. Mediwaka and assigned Counsel A. E. H. Sandaralne for tho 7th accused. Tudor Siriwardena, with Wasudeva Nanayakkara and assigned Counsel Premachandrd Perera, for the Sth accused. Anil Moonesinghe, with Tudor Siriwardena, Wasudeva Nanayakkara and assigned Counsel J. L. Fernando, for the 9th accused. Tudor Siriwardena, with Harischandra Mendis, Gemunu Seneviratne, G. P. S. Fernando and assigned Counsel K. A. P. Rajakaruna, for the 10th accused. R. Weeralcoon, with Asoka Gunasekera and assigned Counsel M. H. Jayas",Evidence Ordinance & Proof,Criminal Procedure & Jurisdiction,0.0
NLR-65-108,NLR-77-019,"Present: Basnayake, C.J. (President), Weerasooriya, S.P.J., and H. N. G. Fernando, J. THE QUEEN v. V. P. JULIS and two others Appeals Nos. 253 to 255, with Applications Nos. 264 to 266 of 1961 S. 0.123—M. 0. Gampaha, 51787/A 1. Evidence—Identification parade —Witness's former statement relating to identi­ fication of accused—Admissibility at trial —“ Authority legally competent to investigate the fa ct” —Evidence Ordinance, ss. 9, 155, 157. Under section 157 of the Evidence Ordinance a former statement made by a witness identifying an accused at an identification parade is relevant as corrobo­ ration of any evidence to the like effect given by the witness at the trial of the accused, provided that the statement was made before “ an authority legally competent to investigate the fact ” other than an officer investigating under Chapter XU of the Criminal Procedure Code. A person who is delegated by a Magistrate to hold an identification parade is not “ an authority legally competent to investigate the fact ” within the meaning of section 157 of the Evidence Ordinance. 2. Evidence—False evidence given by witness on a material point—Oan the rest of his evidence be accepted as true 1—Ap",", 51 Bribery Act (Cap. 26)—Conviction under section 16 or section 19 — Sentence—Requirement of fine in addition to imprisonment. When a person is convicted of an offence falling under section 16 or section 19 of the Bribery Act (as amended), a sentence of a fine is mandatory in addition to the sentence of imprisonment. A 07437 (06/74) 126 SAMERAWICKliAjUE, J .— Nanayakkara v. The State A.PPEAL from a judgment of the District Court, Nuwara Eliya. E. R. S. R. Coomaraswamy, with Prins Gunasekera, T. Joganathan and S. C. B. Walgampaya, for the accused- appellant. G. L. M. de Silva, State Counsel, for the Attorney-General. February 25, 1974. S am eraw ick ram e , J. Learned counsel for the accused-appellant has not urged before us any good ground why the conviction of the appellant should be set aside. The conviction is therefore affirmed. It is submitted however that the sentences imposed on the accused by the learned District Judge would operate harshly inasmuch as the accused has been sentenced to undergo terms of imprisonment in respect of each count consecutively though counts 1 and 2 were framed in respect of one and the same act and counts 3 and 4 also were framed",Penal Code Offences,Bribery & Public Corruption,0.0
NLR-66-042,NLR-65-045,", 73567 Food Control Act— Section 4 (1) (i)— Order No. 184 made thereunder on January 26, 1962— Charge of transporting rice without a permit— Burden of proof—Evidence Ordinance, a. 105. In a prosecution for transporting rice without a permit in contravention of the relevant Order published under section 4 (1) (i) of the Food Control Act, the burden of proving that the rice was locally grown rice, as mentioned in the proviso to the Order, is upon the accused. A.PPEAL from a judgment of the Magistrate’s Court, Matara. Colvin R. de Silva, with M. L. de Silva, for accused-appellants. R. I. Obeyeselcere, Crown Counsel, for Attorney-General. 186 HERAT, J .—Cornelis v. Inspector of Police, Kamburupitiya March 8, 1963. H e r a t , J.— This charge relates to an offence against an Order, No. 184, published in Government Gazette No. 12,886 of 26.1.62, made by the Minister for Food by virtue of the powers vested in him by section 4 (1) (i) of the Food Control Act, No. 25 of 1950. The relevant parts of that Order are to the following effect:— “ I do by this order prohibit the transport or removal of any quantity of any rice from any one place in Ceylon to any other place in Ceylon,",", 4736/N ■Criminal procedure— Accused produced in Court by police officer without process — Framing of charge— Omission of Court to record evidence of police officer—Is it a fatal irregularity ?— Criminal Procedure Code , as. 148 (1) (6), 151 (2), 152 (8), 425—Scope of s. 425. Where a police officer produces an accused person in custody before Court without process, the omission, of Court to record the evidence of the police officer before framing a charge against the accused is an. irregularity which can be cured under section 425 of the Criminal Procedure Code, if the omission has not caused prejudice to the accused. A p p e a l from a judgment of the Magistrate’s Court, Colombo South. Colvin S. de Silva, with Miss Suri/ya Wicbretaasinghe, for the Accused- Appellant. T. D. Bandaranayake, Crown Counsel, for the Attorney-General. Cur, adv. vult. SANS ONI, J.— Caldera v. Wijewardene 2U March 2, 1962. Sausoni , J.— Proceedings in this case appear to hare began with the accused being produced in court by a police officer, after investigation had been made into a complaint that he had cheated one Albert. He was warned to attend on a later day, hut he was absent on that day",Penal Code Offences,Penal Code Offences,1.0
NLR-75-010,NLR-75-006,", 399/R.E. Oivii Procedure (lode— Sections 338, 341, 394 (2), 398, 647— Husband and wife living in separation—Death of husband— Appointment of the wife as legal representative of the deceased husband— Validity — Expression “ next of kin ""— It includes a widow who is an intestate heir— Sent Restriction Act. G. P. A. SILVA, S.P.J .—Fernando v. Maglin Hamine 61 Where husband and wife have been living in separation because of cruelty on the part of the husband, and the wife has been in receipt of maintenance for herself as ordered in a maintenance case, the wife is nevertheless entitled to assert her rights to the assets of the husband upon the husband’s death. Accordingly, on the death of the husband, the wife may be substituted as legal representative in execution proceedings against the husband in respect of a decree entered for his ejectment from rent-controlled premises. The expression ** next of kin ” in section 394 (2) of the Civil Procedure Code includes a widow who is an intestate heir under the Matrimonial Bights and Inheritance Ordinance No. 16 of 1876. A p p e a l from a judgment of the District Court, Colombo. O. P. J. Kurukulasuriya, with Mrs. N. Dambawtnna, for",", with Application 116 3. C. 456j70—M. G. Batticaloa, 29047 Penal Code—Section 294, Exception 1—""Deprivation of the power of self-control by grave and sudden provocation ”—Interval of time between provocation and killing—Circumstances when the exception would be applicable even then . A n offender m ay be said to have been deprived o f his pow er of self-control by grave and sudden provocation w ithin the m eaning of E xception 1 to section 294 of th e Penal Code even though there was an interval o f tim e betw een the giving o f th e provocation and the tim e of th e killing, if th e evidence show s th at, all the tim e during th e interval, the accused suffered und er a loss of self-control. A p p e a l against a conviction at a trial before the Supreme Court. V. E. Sdvarajah, with (assigned) B, B. D. Fernando, for the accused- appellant. E. D. Wikramanayake, Crown Counsel, for the Crown. Cur. adv. wit. August 3,1971. H. N. G. F e r n a n d o, C.J.— The accused in this case was convicted of committing the murder of his wife on 13th September, 1969. There was no doubt that the accused did in fact cause the death of his wife by a stab injury. The accused gave evidence in hi",Bail Law & Remand,Penal Code Offences,0.0
NLR-73-105,SLR-2011-V1-240,". KahUara, 43578 Criminal Procedure Code—Section 152 (3}^-Assumption of jurisdiction thereunder to try an offence of attempted murder —Invalidity. Where the statements made to the police and the medical evidence disclose pri ra facie an offence of attempted murder, a Magistrate must not assume jurisdiction under section 152 (3) of tho Criminal Procedure Code.in order to try the offence summarily.' , » 1891 Probate 11. SAMERAWICKRAME, J.— Attorney-Oeneral v. Edin Silva 549 A PPLIC A TIO N to revise an order of the Magistrate’s Court, Kalutara. V. S. A. Pullenayegum, Senior Crown Counsel, with Faisz Musthapha, Crown Counsel, for the petitioner. 0. D. C. Weerasinghe, for the respondent. Cur. adv. vult. September 27, 1970. S a m e b a w ic k r a m e, J.— The Attorney-General has made this application asking that the .order of the learned magistrate made on 2nd June, 1970, be set aside and that a direction be given that non-summary proceedings should be had upon a charge of attempted murder. The accused-respondent had the following charges preferred against him in the Magistrate’s Court of Kalutara :— ""(l)T hat on 12.3.1970, at Etagama, Paiyagala, within the jurisdiction of",". J CA 72/2005 (Db) HC RATNAPuRA 95/2001 FebRuARY 2, 8, 2011. Penal Code - murder - Section 296 - Conviction based on circum - stantial evidence - Inference to be drawn? - Evidence Ordinance- Section 114 (g) – Ellenborough principle - only when a strong prima facie case has been made out? The accused appellant was convicted of the murder of one J and was sentenced to death. The case for the prosecution depended on circum - stantial evidence. In appeal",Penal Code Offences,Penal Code Offences,1.0
NLR-74-090,NLR-70-064,". Colombo South, 12707/A insolvency Ordinance (Cap. 97)—Sections 36 and 164—Extent of the prolection available thereunder to an insolvent—Income Tax Ordinance (Cap, 942)—Section So ( ! ) — Proceedings for recovery of tax before a Magistrate— Whether or not sentence of imprisonment is obligatory in default of payment—Criminal Procedure Code, ss. 312 (1), 312 (1) (b). 356 IVEERAMAXTRY, J .—Smale v. Commissioner of Inland Revenue The protection from arrest and imprisonment given to an insolvent by sections 36 and 164 of tho Insolvency Ordinanco is availablo not only when tho insolvent is coming to surrender but also at later stages right up to tho Btage of examination and allowanco of certificate. Such protection, however, does not oxtend to a cose whero tho insolvent is ono who has incurrod a tax liability to tho Crown. “ A clear distinction must bo drawn between tho typo of arrest or imprison­ ment which a civil creditor is entitled to inflict upon his debtor under tho provisions of tho Civil Proccduro Codo and tho arrest or imprisonment which tho Criminal Proccduro Codo provides as ono of its essential sanctions . . . Consequently whero tho Incomo Tax Ordinanco states",", 7106/L Conciliation Boards Act, No. 10 of 1958, as amended by Act No. 12 of 1963—Sections 6, 14 (1) (a), 18—Dispute relating to a contract of tenancy—Jurisdiction of a civil court to hear it —Requirement, of certificate from Chairman of Panel of Conciliators—Inability to serve summons on the party complained against — Effect. Whore a Panel of Conciliators has been constituted for a Conciliation Board area, an action instituted in that area concerning a dispute as to whether or not there has been a breach of a contract of tenancy between the parties falls within the ambit of section 6 of the Conciliation Boards Act, No. 10 of 1958, as amended by Act No. 12 of 1963. The action cannot therefore be instituted in, or be entertained by, a civil court without the production of a certificate from the Chairman of the Panel of Conciliators in compliance with the requirements of section 14 (1) (a) of the Act. Where a dispute is roferred to a Conciliation Board, there is no legal require­ ment of the presonce at the inquiry of the party againRt whom the complaint is made. If the Board is satisfied that, despite reasonable effort, it is not possible to serve summons or otherwise",Criminal Procedure & Jurisdiction,Criminal Procedure & Jurisdiction,1.0
NLR-59-001,NLR-73-092,"Present: Earl Jowlft, Lord Morton of Henryfon, Lord Tucker, Lord Keith of Avonholm and Lord Denning K. M. PERERA, Appellant, and H. G. MARTIN DIAS, Respondent P r iv y C o u n c il A p p e a l N o. 10 o p 1956 S. G. 4-14—D. O. Kuru negala, 3705 Appeal—Finding of fact of trial judge—Reversal by appellate court— Importance of proper perception of facts—Omnibus Service Licensing Ordinance, 1042. U'hero a trial judge lias believed ono party and disbelieved tho opposite party on a question of fact and lias found tho primary facts accordingly, an appellato court will roverso tho trial judgo on his perception of thoso facts wlion it is convincod by tho plainest considerations that it would bo justified in doing Xino persons, each of whom owned one or moro omnibuses, formed a partner­ ship known as tho K. A. B. Bus Co., whoso business was to ply thoir buses for hire along a particular route. One of these partners was tho plaintiff. Another was tho defendant, who was tho manager of tho partnership business. In 1942 the Omnibus Servico Licensing Ordinance was passed in order to avoid compe­ tition between bus owners. Under the new licensing system introduced by that Ordinance, tho lieenco to",", 37754 Customs Ordinance (Cap. 233)—Section ICC (!)—Offence of possessing an articU suspected to hace been stolen—Ingredients of the offence—Burden of proof. In n prosecution urnlor section ICC (1) of tho Customs Ordinanco for possessing an article suspoctod to hnvo boon stolon—",Penal Code Offences,Evidence Ordinance & Proof,0.0
